# North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#-----------------------------------------------------------------------
#              World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                       NOAA Paleoclimatology Program 
#-----------------------------------------------------------------------
# NOTE: Please cite original publication, online resource and date accessed when using this data.
# If there is no publication information, please cite Investigator, title, online resource and date accessed.
#
#  Online_Resource: http://www.hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_STUDY_ID:
# 
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/butler2013/butler2013-chron.txt
#
# Archive: Paleoceanography
#
#--------------------------------
# Contribution_Date
# Date: 2013-06-25
#--------------------------------
# Title:   North Icelandic Shelf Arctica islandica Shell Measurement 1350 Year Record
#--------------------------------
# Investigators: Butler, P.G.; Wanamaker, A.D.; Scourse, J.D.; Richardson, C.A.; Reynolds, D.J.
#--------------------
# Description and Notes: 
# (a) Raw measurements of increment widths from shells of the bivalve Arctica islandica; (b)absolute dates of birth and death derived by crossdating; (c)chronologies derived from a mean value function of the detrended increment widths, and supplementary data associated with the chronologies and presented in the paper.
#  Keyword: Sclerochronology
#--------------------
# Publication 
#   Authors:  Butler, P.G., A.D. Wanamaker Jr., J.D. Scourse, C.A. Richardson and D.J. Reynolds
#   Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#   Published_Title: Variability of marine climate on the North Icelandic Shelf in a 1357-year proxy archive based on growth increments in the bivalve Arctica islandica
#   Published_Date_or_Year: 2013
#   Volume: 373
#   Pages: 141-151
#   DOI: 10.1016/j.palaeo.2012.01.016
# Abstract: A multicentennial and absolutely-dated shell-based chronology for the marine environment of the North Icelandic Shelf has been constructed using annual growth increments in the shell of the long-lived bivalve clam Arctica islandica. The region from which the shells were collected is close to the North Atlantic Polar Front and is highly sensitive to the varying influences of Atlantic and Arctic water masses. A strong common environmental signal is apparent in the increment widths, and although the correlations between the growth increment indices and regional sea surface temperatures are significant at the 95% confidence level, they are low (r~0.2), indicating that a more complex combination of environmental forcings is driving growth. Remarkable longevities of individual animals are apparent in the increment-width series used in the chronology, with several animals having lifetimes in excess of 300 years and one, at 507 years, being the longest-lived non-colonial animal so far reported whose age at death can be accurately determined. The sample depth is at least three shells after AD 1175, and the time series has been extended back to AD 649 with a sample depth of one or two by the addition of two further series, thus providing a 1357-year archive of dated shell material. The statistical and spectral characteristics of the chronology are investigated by using two different methods of removing the age-related trend in shell growth. Comparison with other proxy archives from the same region reveals several similarities in variability on multidecadal timescales, particularly during the period surrounding the transition from the Medieval Climate Anomaly to the Little Ice Age.
#--------------------------------
# Funding_Agency: 
#    Funding_Agency_Name:
#    Grant:
#--------------------------------
# Site Information: 
# Site_Name: Grimsey
# Location: North Atlantic Ocean
#	Northernmost_Latitude:  66.5265
# 	Southernmost_Latitude:   66.5265
# 	Easternmost_Longitude: -18.19567
# 	Westernmost_Longitude: -18.19567
# 	Elevation: 81-83 m
#--------------------------------
# Data Collection 
# Collection_Name: NIS-A.islandica chronologies Butler13
# Oldest_Year: 649
# Most_Recent_Year: 2005
# Time_Unit: AD
# Core_Length 
# Notes: The NE and RCS detrended chronologies used in Butler et al 2013. Autoregressively modelled versions of the chronology produced by ARSTAN (see Butler et al 2013, section 3.3). Only the NE detrended chronology is used in Wanamaker et al 2012. Data from figures 3d, 3e and 3f in paper. 
#--------------------------------
# Variables    
# 
# Data variables follow (have no #)
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
## age_AD age,,,AD,,,,,N
## NE.ars	detrended growth index,Arctica islandica,,unitless,,,negative exponential function,autoregressively modelled version from ARSTAN,N
## RCS.ars	detrended growth index,Arctica islandica,,unitless,,,regional curve standardization,autoregressively modelled version from ARSTAN,N
#----------------------
# Data:
age_AD	NE.ars	RCS.ars
1413	1.021	1.032
1414	0.384	0.25
1415	1.324	1.311
1416	1.384	1.331
1417	1.475	1.553
1418	1.457	1.526
1419	1.435	1.598
1420	0.775	0.965
1421	1.004	1.206
1422	0.697	0.693
1423	0.731	0.719
1424	0.934	0.829
1425	0.658	0.788
1426	1.068	0.979
1427	1.102	1.034
1428	0.956	0.952
1429	0.533	0.615
1430	0.888	0.936
1431	1.434	1.541
1432	1.292	1.454
1433	0.912	1.13
1434	1.112	1.412
1435	1.359	1.577
1436	1.115	1.237
1437	1.324	1.49
1438	0.986	1.088
1439	1.003	1.17
1440	1.026	1.127
1441	0.65	0.83
1442	1.029	1.094
1443	1.295	1.308
1444	1.265	1.353
1445	0.899	0.954
1446	1.079	1.174
1447	1.006	1.132
1448	1.04	1.151
1449	1.315	1.444
1450	1.299	1.419
1451	1.456	1.622
1452	1.389	1.621
1453	1.337	1.591
1454	0.668	0.833
1455	1.209	1.372
1456	1.163	1.274
1457	1.018	1.109
1458	0.826	0.858
1459	1.446	1.342
1460	1.327	1.301
1461	1.098	1.131
1462	1.39	1.41
1463	1.07	1.182
1464	1.057	1.166
1465	0.516	0.715
1466	0.718	0.862
1467	0.738	0.828
1468	0.648	0.505
1469	1.009	0.809
1470	0.943	0.73
1471	0.974	0.841
1472	1.165	1.026
1473	1.23	1.171
1474	1.505	1.354
1475	1.687	1.589
1476	1.25	1.348
1477	1.658	1.616
1478	0.949	0.988
1479	1.358	1.416
1480	1.387	1.479
1481	0.613	0.882
1482	1.013	1.225
1483	1.041	1.168
1484	1.416	1.294
1485	1.435	1.351
1486	1.307	1.346
1487	1.351	1.557
1488	0.493	0.79
1489	0.725	0.991
1490	0.806	0.916
1491	1.139	1.14
1492	1.287	1.247
1493	0.744	0.778
1494	1.227	1.21
1495	1.445	1.348
1496	1.018	1.089
1497	1.282	1.343
1498	0.87	1.046
1499	1.253	1.278
1500	0.861	1.168
1501	1.257	1.477
1502	1.29	1.506
1503	1.643	1.816
1504	0.949	1.445
1505	1.012	1.413
1506	1.12	1.423
1507	1.1	1.331
1508	0.896	1.173
1509	0.686	0.975
1510	0.688	0.848
1511	0.851	0.893
1512	0.944	1.028
1513	1.234	1.304
1514	0.575	0.828
1515	0.644	0.812
1516	1.033	1.086
1517	0.435	0.54
1518	0.521	0.503
1519	0.607	0.63
1520	0.809	0.687
1521	1.248	1.088
1522	1.152	1.096
1523	0.927	0.898
1524	1.035	1.087
1525	1.159	1.22
1526	1.353	1.488
1527	0.642	0.703
1528	1.018	1.119
1529	1.265	1.362
1530	0.518	0.74
1531	1.096	1.21
1532	0.37	0.622
1533	0.034	-0.039
1534	0.257	0.185
1535	0.576	0.459
1536	1.073	0.854
1537	0.124	-0.306
1538	0.85	0.607
1539	0.655	0.438
1540	0.609	0.222
1541	0.516	0.078
1542	0.898	0.491
1543	1.198	0.855
1544	1.238	1.033
1545	0.491	0.184
1546	1.072	0.849
1547	0.634	0.411
1548	1.354	1.126
1549	1.326	1.14
1550	1.385	1.243
1551	0.81	0.843
1552	0.737	0.7
1553	0.7	0.617
1554	1.527	1.254
1555	1.707	1.502
1556	1.402	1.345
1557	1.439	1.455
1558	1.418	1.476
1559	1.15	1.207
1560	0.944	0.969
1561	0.792	0.818
1562	1.016	0.959
1563	0.379	0.12
1564	0.377	-0.025
1565	0.514	0.11
1566	0.475	-0.118
1567	1.323	0.796
1568	0.653	0.069
1569	1.807	1.266
1570	1.404	1.106
1571	2.058	1.718
1572	0.96	0.645
1573	0.95	0.717
1574	0.668	0.313
1575	0.851	0.439
1576	0.922	0.518
1577	1.807	1.284
1578	1	0.569
1579	0.529	0.02
1580	1.206	0.883
1581	0.928	0.512
1582	1.576	1.087
1583	1.339	0.999
1584	0.6	0.301
1585	0.76	0.495
1586	0.482	0.092
1587	0.502	-0.144
1588	1.078	0.515
1589	1.461	0.804
1590	0.815	0.332
1591	1.778	1.19
1592	1.649	1.425
1593	1.685	1.528
1594	1.7	1.665
1595	1.557	1.603
1596	0.77	0.839
1597	0.685	0.661
1598	1.565	1.532
1599	1.071	1.066
1600	1.817	1.756
1601	1.145	1.174
1602	1.365	1.406
1603	0.841	0.941
1604	1.338	1.288
1605	1.323	1.246
1606	0.929	0.896
1607	1.22	1.159
1608	1.809	1.615
1609	0.924	1.04
1610	0.98	1.025
1611	1.98	1.828
1612	1.758	1.734
1613	1.111	1.164
1614	1.488	1.652
1615	0.848	0.999
1616	1.197	1.217
1617	0.977	0.965
1618	1.168	1.081
1619	0.884	0.757
1620	0.746	0.558
1621	0.79	0.656
1622	0.744	0.617
1623	0.758	0.566
1624	1.344	1.133
1625	0.884	0.757
1626	1.307	1.137
1627	0.921	0.921
1628	0.885	0.844
1629	1.671	1.502
1630	0.87	0.721
1631	1.367	1.3
1632	1.445	1.453
1633	1.182	1.287
1634	1.162	1.233
1635	1.194	1.161
1636	1.15	1.183
1637	1.222	1.29
1638	0.914	0.861
1639	1.291	1.297
1640	0.923	1.009
1641	0.812	0.937
1642	1.41	1.38
1643	1.258	1.347
1644	0.98	1.108
1645	0.545	0.753
1646	1.114	1.259
1647	0.878	0.961
1648	0.978	1.068
1649	1.005	1.045
1650	1.134	1.194
1651	1.381	1.396
1652	1.745	1.624
1653	1.203	1.353
1654	1.488	1.615
1655	1.329	1.494
1656	1.285	1.471
1657	0.81	1.015
1658	0.76	0.914
1659	0.827	0.928
1660	1.027	1.025
1661	0.367	0.328
1662	1.235	1.238
1663	0.959	0.965
1664	1.097	1.134
1665	1.384	1.318
1666	1.304	1.371
1667	0.819	0.975
1668	0.677	0.868
1669	1.105	1.139
1670	1.292	1.301
1671	1.207	1.271
1672	0.802	0.959
1673	1.016	1.13
1674	0.877	1.014
1675	0.565	0.754
1676	0.439	0.51
1677	0.768	0.768
1678	0.774	0.796
1679	1.134	1.087
1680	1.112	1.116
1681	1.565	1.512
1682	1.02	1.206
1683	0.867	1.067
1684	1.277	1.386
1685	0.889	1.095
1686	0.571	0.752
1687	0.455	0.655
1688	1.336	1.333
1689	0.512	0.637
1690	0.74	0.846
1691	0.78	0.892
1692	1.244	1.297
1693	1.01	1.116
1694	0.245	0.297
1695	0.829	0.845
1696	0.765	0.741
1697	0.72	0.719
1698	0.623	0.554
1699	0.999	1.012
1700	0.462	0.43
1701	1.07	0.944
1702	0.77	0.695
1703	0.86	0.836
1704	1.247	1.073
1705	0.733	0.816
1706	0.829	0.798
1707	0.376	0.593
1708	1.379	1.288
1709	1.584	1.413
1710	1.713	1.563
1711	1.003	1.059
1712	1.311	1.362
1713	1.594	1.555
1714	0.901	1.125
1715	0.919	1.031
1716	0.787	0.914
1717	0.787	0.88
1718	1.372	1.139
1719	0.734	0.765
1720	0.549	0.531
1721	0.608	0.578
1722	1.238	0.99
1723	1.068	0.918
1724	1.876	1.6
1725	1.432	1.338
1726	1.736	1.686
1727	2.06	1.905
1728	1.622	1.644
1729	1.518	1.595
1730	1.095	1.392
1731	1.239	1.444
1732	0.904	1.229
1733	0.982	1.138
1734	1.601	1.581
1735	0.618	0.959
1736	0.742	1.003
1737	1.64	1.554
1738	1.054	1.258
1739	0.754	1.084
1740	0.724	0.994
1741	0.753	1.007
1742	1.294	1.429
1743	0.96	1.196
1744	0.791	1.067
1745	0.57	0.915
1746	0.514	0.855
1747	0.782	1.042
1748	1.115	1.214
1749	1.319	1.359
1750	1.019	1.228
1751	1.281	1.494
1752	1.449	1.6
1753	0.284	0.847
1754	0.982	1.394
1755	1.388	1.585
1756	1.484	1.657
1757	1.018	1.364
1758	1.259	1.562
1759	0.688	1.129
1760	0.695	1.119
1761	1.233	1.411
1762	0.867	1.133
1763	0.972	1.251
1764	0.9	1.14
1765	1.299	1.435
1766	1.352	1.549
1767	1.556	1.712
1768	1.531	1.688
1769	1.142	1.488
1770	0.979	1.406
1771	1.121	1.464
1772	0.62	1.035
1773	0.325	0.783
1774	0.35	0.635
1775	0.549	0.703
1776	0.709	0.815
1777	0.674	0.821
1778	1.15	1.139
1779	1.049	1.125
1780	0.776	0.919
1781	1.337	1.353
1782	0.535	0.938
1783	0.936	1.195
1784	1.032	1.257
1785	1.422	1.475
1786	1.375	1.421
1787	1.181	1.257
1788	1.294	1.459
1789	1.237	1.364
1790	1.533	1.668
1791	1.05	1.194
1792	0.731	1.035
1793	0.842	1.085
1794	1.136	1.285
1795	0.941	1.11
1796	1.169	1.252
1797	1.11	1.294
1798	0.333	0.661
1799	1.274	1.406
1800	1.198	1.397
1801	0.4	0.821
1802	0.79	1.084
1803	0.433	0.749
1804	1.404	1.297
1805	0.336	0.592
1806	0.218	0.411
1807	0.543	0.591
1808	1.015	0.986
1809	1.16	1.134
1810	0.282	0.276
1811	0.173	0.152
1812	0.304	0.278
1813	0.323	0.231
1814	0.387	0.205
1815	0.521	0.485
1816	0.803	0.698
1817	0.418	0.251
1818	0.579	0.524
1819	1.351	1.071
1820	0.868	0.809
1821	1.383	1.302
1822	1.416	1.31
1823	0.804	0.949
1824	0.328	0.364
1825	1.004	1.072
1826	0.39	0.475
1827	0.91	0.9
1828	0.263	0.196
1829	0.575	0.526
1830	0.671	0.544
1831	1.369	1.072
1832	1.252	1.051
1833	1.092	1.019
1834	0.778	0.679
1835	1.251	1.126
1836	1.738	1.545
1837	1.655	1.545
1838	1.538	1.562
1839	1.594	1.576
1840	1.507	1.563
1841	1.064	1.114
1842	1.122	1.064
1843	1.263	1.186
1844	1.15	1.08
1845	0.759	0.737
1846	1.25	1.072
1847	0.876	0.649
1848	1.337	1.108
1849	0.682	0.442
1850	1.553	1.286
1851	1.131	0.928
1852	0.74	0.497
1853	0.843	0.578
1854	0.917	0.677
1855	1.118	0.814
1856	0.364	-0.064
1857	1.006	0.716
1858	0.855	0.565
1859	0.258	-0.191
1860	0.567	0.224
1861	0.932	0.579
1862	0.966	0.615
1863	0.99	0.729
1864	0.626	0.326
1865	0.721	0.514
1866	0.511	0.322
1867	0.471	0.151
1868	1.193	0.96
1869	0.855	0.668
1870	1.195	1.033
1871	1.449	1.246
1872	1.162	1.086
1873	1.504	1.424
1874	0.921	0.988
1875	0.891	0.961
1876	1.734	1.472
1877	1.381	1.32
1878	1.642	1.566
1879	0.954	1.035
1880	0.213	0.349
1881	0.591	0.574
1882	0.719	0.489
1883	0.846	0.672
1884	1.236	0.937
1885	1.324	1.041
1886	0.898	0.799
1887	0.959	0.884
1888	1.526	1.323
1889	0.92	0.953
1890	1.254	1.356
1891	0.983	1.069
1892	0.794	1.061
1893	0.985	1.062
1894	0.414	0.55
1895	0.818	0.839
1896	0.957	0.902
1897	0.598	0.637
1898	0.595	0.583
1899	0.658	0.641
1900	0.488	0.442
1901	0.831	0.681
1902	0.864	0.737
1903	0.98	0.852
1904	1.031	0.897
1905	1.179	1.214
1906	1.062	1.125
1907	1.126	1.169
1908	1.501	1.423
1909	0.769	0.849
1910	0.402	0.739
1911	0.519	0.67
1912	0.922	0.982
1913	1.206	1.161
1914	0.293	0.523
1915	0.332	0.513
1916	0.954	0.95
1917	0.716	0.763
1918	0.807	0.765
1919	0.871	0.899
1920	0.67	0.712
1921	1.369	1.133
1922	1.199	1.078
1923	1.191	1.075
1924	1.316	1.363
1925	1.634	1.506
1926	0.889	1.119
1927	1.201	1.287
1928	1.142	1.258
1929	1.196	1.303
1930	0.58	0.96
1931	0.796	1.121
1932	0.4	0.875
1933	1.049	1.208
1934	0.672	0.91
1935	0.669	0.901
1936	1.171	1.119
1937	1.384	1.317
1938	1.031	1.177
1939	1.24	1.298
1940	0.979	1.239
1941	0.951	1.218
1942	0.865	1.174
1943	0.459	0.913
1944	0.734	1.035
1945	0.767	1.038
1946	1.395	1.366
1947	1.528	1.489
1948	1.173	1.328
1949	1.028	1.264
1950	1.375	1.474
1951	0.766	1.176
1952	1.066	1.3
1953	0.835	1.141
1954	1.226	1.396
1955	1.326	1.402
1956	1.175	1.344
1957	1.017	1.276
1958	0.79	1.168
1959	1.458	1.509
1960	1.084	1.334
1961	0.87	1.216
1962	0.757	1.156
1963	0.501	0.977
1964	0.971	1.182
1965	0.429	0.824
1966	0.932	1.116
1967	0.676	0.932
1968	1.068	1.194
1969	1.442	1.357
1970	1.425	1.428
1971	0.856	1.125
1972	1.345	1.42
1973	1.035	1.25
1974	0.597	1.007
1975	0.7	0.997
1976	1.102	1.206
1977	0.609	0.935
1978	0.76	0.951
1979	0.422	0.723
1980	0.772	0.929
1981	0.666	0.825
1982	0.735	0.851
1983	0.899	0.932
1984	1.277	1.199
1985	1.307	1.237
1986	1.181	1.183
1987	0.785	0.965
1988	0.762	0.981
1989	1.162	1.176
1990	1.086	1.141
1991	1.047	1.103
1992	1.503	1.387
1993	1.089	1.181
1994	0.654	0.916
1995	0.929	1.036
1996	1.056	1.125
1997	0.764	0.922
1998	1.152	1.123
1999	0.964	0.992
2000	0.972	0.986
2001	1.284	1.14
2002	1.247	1.166
2003	0.95	1.054
2004	0.66	0.7
2005	1.17	1.069
