Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1691,0.319,-0.454,1.038,-2.771,3.355,-0.042,-0.584,0.279,-2.790,2.485
1690,0.316,-0.551,1.132,-2.868,3.449,0.046,-0.600,0.528,-2.806,2.734
1689,0.661,0.081,1.645,-2.236,3.961,0.703,0.095,1.059,-2.111,3.265
1688,0.296,-0.453,1.345,-2.770,3.662,-0.191,-0.708,0.125,-2.914,2.331
1687,-0.072,-0.882,0.495,-3.198,2.812,-0.561,-1.154,-0.143,-3.360,2.063
1686,-0.132,-0.839,0.628,-3.156,2.945,0.371,-0.448,0.983,-2.655,3.189
1685,-0.423,-1.063,0.315,-3.379,2.632,-0.322,-0.773,0.059,-2.979,2.266
1684,-1.114,-2.121,-0.228,-4.437,2.089,-2.110,-2.854,-1.543,-5.060,0.663
1683,0.414,-0.916,1.270,-3.233,3.586,-0.125,-0.753,0.346,-2.960,2.552
1682,0.763,-0.067,1.486,-2.384,3.803,0.750,0.277,1.001,-1.929,3.208
1681,0.153,-1.274,1.320,-3.590,3.636,-0.190,-0.601,0.199,-2.807,2.405
1680,1.137,-0.109,2.753,-2.426,5.070,0.240,-0.129,1.141,-2.335,3.347
1679,-0.241,-1.301,0.333,-3.618,2.650,-0.608,-1.053,-0.290,-3.259,1.916
1678,0.208,-1.287,0.841,-3.604,3.158,-0.373,-0.996,0.013,-3.202,2.219
1677,0.538,-0.307,1.188,-2.624,3.504,0.368,-0.230,0.852,-2.436,3.058
1676,0.316,-0.670,0.863,-2.986,3.180,0.440,-0.271,0.772,-2.477,2.979
1675,-0.590,-2.152,0.210,-4.469,2.526,-0.768,-1.517,-0.304,-3.723,1.902
1674,-0.378,-1.232,0.355,-3.549,2.672,-1.393,-2.077,-1.012,-4.283,1.194
1673,0.062,-0.646,0.705,-2.962,3.022,-0.255,-0.856,0.113,-3.062,2.319
1672,-0.025,-1.013,0.560,-3.330,2.877,-0.036,-0.604,0.297,-2.810,2.503
1671,0.350,-0.472,0.953,-2.789,3.270,0.344,-0.186,0.683,-2.392,2.890
1670,-0.688,-1.849,0.271,-4.166,2.587,-0.456,-0.968,-0.089,-3.174,2.117
1669,-0.107,-0.770,0.719,-3.087,3.036,-0.028,-0.490,0.284,-2.696,2.490
1668,0.093,-0.755,1.130,-3.071,3.447,0.634,-0.216,0.964,-2.422,3.170
1667,-0.618,-1.634,0.199,-3.951,2.516,-1.864,-2.287,-1.454,-4.493,0.753
1666,-0.767,-1.661,-0.106,-3.978,2.211,-0.916,-1.165,-0.613,-3.371,1.593
1665,-0.553,-1.225,0.201,-3.542,2.518,-0.949,-1.156,-0.752,-3.363,1.455
1664,-0.339,-1.147,0.372,-3.464,2.689,-0.646,-0.912,-0.455,-3.118,1.751
1663,-0.214,-1.013,0.664,-3.330,2.981,-0.630,-1.040,-0.338,-3.246,1.868
1662,0.180,-0.463,1.438,-2.780,3.754,0.464,0.027,0.845,-2.180,3.051
1661,0.476,-0.165,1.345,-2.482,3.662,0.521,0.098,0.790,-2.109,2.996
1660,-0.332,-1.298,0.627,-3.615,2.944,-0.330,-0.792,0.130,-2.999,2.336
1659,0.151,-0.412,1.128,-2.728,3.444,0.743,0.240,1.052,-1.966,3.258
1658,-0.251,-0.989,0.748,-3.306,3.065,0.298,-0.189,0.652,-2.395,2.859
1657,-0.206,-1.290,0.951,-3.607,3.268,-0.535,-1.141,-0.168,-3.348,2.038
1656,0.242,-0.379,1.029,-2.696,3.346,0.623,0.158,0.929,-2.049,3.135
1655,-0.042,-0.670,0.646,-2.987,2.963,-0.123,-0.355,0.144,-2.561,2.350
1654,-0.444,-1.728,0.592,-4.044,2.908,0.371,-0.079,0.707,-2.285,2.913
1653,-0.172,-0.936,0.556,-3.252,2.873,0.307,0.017,0.909,-2.189,3.115
1652,-0.642,-1.391,0.264,-3.708,2.581,-0.385,-0.691,-0.002,-2.897,2.205
1651,0.793,-0.445,1.646,-2.762,3.963,0.356,0.073,0.741,-2.133,2.947
1650,0.071,-0.586,0.766,-2.902,3.082,0.182,-0.178,0.682,-2.384,2.888
1649,-0.014,-1.066,0.728,-3.383,3.045,-0.175,-0.573,0.127,-2.780,2.333
1648,0.261,-0.804,1.160,-3.121,3.477,1.164,0.834,1.443,-1.373,3.650
1647,1.047,-0.018,2.311,-2.334,4.627,1.059,0.519,1.407,-1.687,3.613
1646,0.626,-0.475,1.821,-2.792,4.137,0.609,0.185,0.911,-2.021,3.118
1645,0.471,-0.811,1.236,-3.128,3.553,1.482,1.163,1.713,-1.043,3.920
1644,1.233,0.049,1.921,-2.268,4.237,1.794,1.577,2.296,-0.629,4.503
1643,1.097,-0.235,1.852,-2.552,4.169,1.730,1.019,2.116,-1.187,4.322
1642,1.072,-0.004,1.985,-2.321,4.301,2.207,1.423,2.648,-0.783,4.854
1641,0.894,-0.401,1.808,-2.718,4.125,0.818,0.189,1.222,-2.017,3.428
1640,0.844,-0.385,1.532,-2.701,3.849,1.300,0.617,1.783,-1.589,3.989
1639,0.687,-0.476,1.381,-2.793,3.698,0.871,0.245,1.368,-1.961,3.574
1638,0.444,-0.635,1.821,-2.952,4.137,1.970,1.405,2.346,-0.801,4.552
1637,0.266,-0.892,1.594,-3.208,3.910,1.356,1.110,1.518,-1.096,3.725
1636,0.745,0.007,1.747,-2.310,4.064,1.314,1.041,1.539,-1.165,3.745
1635,0.170,-0.762,0.738,-3.078,3.055,0.244,-0.112,0.500,-2.318,2.706
1634,0.814,0.183,1.900,-2.134,4.217,1.018,0.654,1.482,-1.553,3.688
1633,0.504,-0.185,1.468,-2.502,3.785,0.498,0.045,0.775,-2.162,2.981
1632,-0.456,-1.254,0.741,-3.571,3.058,0.095,-0.264,0.432,-2.471,2.638
1631,0.123,-0.670,1.201,-2.987,3.518,0.412,0.053,0.659,-2.154,2.866
1630,0.007,-0.857,0.597,-3.173,2.914,-0.590,-1.021,-0.195,-3.228,2.012
1629,0.453,-0.257,1.713,-2.574,4.030,0.377,0.228,0.557,-1.978,2.764
1628,-0.006,-0.600,0.870,-2.917,3.187,0.202,-0.060,0.582,-2.266,2.788
1627,0.309,-0.467,1.061,-2.784,3.377,0.387,-0.017,1.033,-2.223,3.240
1626,-0.457,-1.186,0.707,-3.503,3.024,-0.355,-0.692,0.185,-2.898,2.392
1625,-0.028,-0.903,1.068,-3.220,3.385,-0.695,-1.138,0.178,-3.345,2.385
1624,-0.441,-1.370,1.053,-3.686,3.369,-0.876,-1.217,-0.503,-3.424,1.704
1623,0.016,-0.611,1.271,-2.928,3.588,-0.225,-0.508,-0.035,-2.714,2.171
1622,-0.055,-1.071,1.098,-3.387,3.415,-1.063,-1.418,-0.663,-3.625,1.544
1621,0.541,-0.741,1.801,-3.058,4.118,-0.853,-1.272,-0.449,-3.478,1.757
1620,0.196,-1.249,1.445,-3.565,3.761,-0.976,-1.292,-0.667,-3.499,1.540
1619,-0.293,-1.571,0.660,-3.888,2.977,-1.399,-1.698,-0.727,-3.905,1.479
1618,-0.261,-1.845,1.326,-4.162,3.643,-1.808,-2.146,-1.009,-4.353,1.197
1617,-0.278,-1.713,0.778,-4.030,3.095,-1.752,-2.068,-1.469,-4.274,0.737
1616,-0.217,-1.329,0.767,-3.646,3.084,-1.435,-1.782,-0.933,-3.988,1.274
1615,-0.145,-1.229,1.087,-3.546,3.404,-1.544,-1.884,-1.276,-4.090,0.930
1614,-0.487,-1.486,0.809,-3.803,3.126,-1.164,-1.516,-0.876,-3.723,1.330
1613,-0.657,-1.520,0.488,-3.837,2.804,-1.468,-1.843,-1.142,-4.049,1.064
1612,-0.440,-1.535,0.547,-3.851,2.864,-1.438,-1.951,-0.849,-4.158,1.357
1611,-0.398,-1.246,0.842,-3.562,3.158,-1.495,-1.975,-1.067,-4.182,1.139
1610,-0.221,-1.290,0.910,-3.606,3.227,-1.278,-1.886,-0.185,-4.093,2.021
1609,0.113,-0.828,1.067,-3.145,3.384,-0.787,-1.279,-0.480,-3.485,1.726
1608,-0.209,-1.363,0.821,-3.679,3.138,-1.098,-1.657,-0.613,-3.863,1.594
1607,-0.295,-1.174,1.051,-3.491,3.367,-0.936,-1.462,-0.283,-3.669,1.924
1606,-0.316,-1.297,1.053,-3.614,3.370,-1.396,-1.690,-1.065,-3.897,1.141
1605,0.434,-0.539,1.839,-2.856,4.156,-0.114,-0.451,0.761,-2.658,2.967
1604,-0.143,-0.904,0.792,-3.220,3.108,-0.544,-0.882,-0.152,-3.088,2.055
1603,-0.488,-1.192,0.206,-3.508,2.523,-0.912,-1.294,-0.295,-3.501,1.912
1602,0.377,-0.731,1.313,-3.048,3.630,0.093,-0.948,0.644,-3.154,2.850
1601,-0.530,-1.287,0.225,-3.604,2.542,-0.857,-1.302,-0.446,-3.508,1.760
1600,-1.174,-1.695,-0.250,-4.011,2.067,-0.603,-0.955,-0.193,-3.161,2.014
1599,0.264,-0.591,0.932,-2.908,3.249,-0.015,-0.443,0.271,-2.649,2.478
1598,-0.300,-0.912,0.293,-3.228,2.610,0.142,-0.296,0.671,-2.503,2.878
1597,-0.830,-1.729,-0.007,-4.046,2.310,-1.005,-1.400,-0.408,-3.606,1.799
1596,-0.566,-1.332,0.394,-3.649,2.710,-0.823,-1.238,-0.478,-3.445,1.729
1595,-0.404,-1.063,0.490,-3.380,2.807,-0.626,-0.996,-0.411,-3.203,1.795
1594,-0.417,-1.199,0.195,-3.516,2.512,-0.573,-1.194,-0.208,-3.400,1.998
1593,-0.086,-1.015,1.070,-3.332,3.387,1.175,0.363,1.608,-1.843,3.815
1592,-0.682,-1.659,0.210,-3.975,2.526,-0.063,-0.710,0.320,-2.916,2.526
1591,-0.461,-1.337,0.296,-3.654,2.613,0.233,-0.364,0.714,-2.571,2.921
1590,-1.422,-2.460,-0.158,-4.777,2.159,-0.734,-1.013,-0.209,-3.219,1.998
1589,-0.595,-1.248,0.400,-3.565,2.716,-0.035,-0.404,0.370,-2.610,2.576
1588,-0.780,-1.386,-0.104,-3.703,2.213,-0.359,-0.702,-0.116,-2.909,2.091
1587,-1.187,-2.090,-0.502,-4.407,1.815,-1.530,-2.121,-1.224,-4.328,0.982
1586,-0.566,-1.225,0.725,-3.542,3.041,-0.343,-0.630,0.017,-2.836,2.224
1585,-1.426,-2.405,0.050,-4.722,2.367,-0.732,-1.032,-0.274,-3.239,1.932
1584,-0.628,-1.571,0.495,-3.888,2.812,0.336,0.115,0.595,-2.091,2.801
1583,-0.513,-1.470,0.516,-3.787,2.832,0.593,0.175,0.933,-2.031,3.139
1582,-0.208,-0.779,0.655,-3.095,2.971,0.361,-0.389,0.781,-2.596,2.987
1581,-0.276,-1.018,0.774,-3.335,3.091,0.191,-0.257,0.652,-2.463,2.859
1580,-0.666,-1.477,0.508,-3.793,2.825,-0.091,-0.436,0.401,-2.643,2.608
1579,-0.336,-1.124,0.591,-3.441,2.908,0.380,-0.007,0.687,-2.213,2.893
1578,-0.249,-0.988,1.108,-3.305,3.425,-0.216,-0.762,0.063,-2.968,2.269
1577,-0.524,-1.625,0.328,-3.942,2.644,-0.345,-0.794,0.021,-3.000,2.227
1576,-0.276,-0.855,0.798,-3.172,3.115,0.456,0.125,0.989,-2.081,3.196
1575,-0.330,-0.983,0.979,-3.300,3.296,0.445,0.146,0.729,-2.061,2.936
1574,-0.065,-0.488,0.667,-2.805,2.983,0.623,0.253,0.861,-1.953,3.067
1573,-0.562,-1.275,0.227,-3.592,2.543,0.424,-0.110,0.734,-2.317,2.940
1572,0.412,-0.261,1.224,-2.578,3.540,1.453,1.199,1.649,-1.007,3.855
1571,-0.131,-0.848,0.538,-3.165,2.854,0.655,0.106,1.068,-2.100,3.275
1570,-0.442,-1.476,0.439,-3.793,2.756,-0.892,-1.400,-0.471,-3.607,1.735
1569,-0.416,-1.288,0.423,-3.605,2.739,-0.574,-0.964,-0.238,-3.171,1.969
1568,0.114,-0.793,1.359,-3.110,3.676,0.491,-0.127,1.102,-2.333,3.308
1567,-0.137,-0.969,0.807,-3.285,3.124,-0.418,-1.366,0.146,-3.573,2.352
1566,-0.428,-1.289,0.317,-3.606,2.634,0.157,-0.557,0.606,-2.763,2.812
1565,-0.465,-1.554,0.634,-3.871,2.951,-0.561,-1.154,-0.002,-3.360,2.204
1564,-0.465,-1.428,0.385,-3.745,2.701,-0.325,-0.849,0.105,-3.055,2.311
1563,-0.758,-1.511,-0.036,-3.828,2.281,-0.478,-0.932,-0.195,-3.138,2.011
1562,-0.419,-1.425,0.741,-3.742,3.058,-0.349,-0.902,0.143,-3.108,2.349
1561,0.138,-0.718,1.426,-3.035,3.743,0.974,0.297,1.498,-1.909,3.705
1560,-0.385,-1.222,0.609,-3.539,2.926,-0.225,-0.646,0.432,-2.852,2.638
1559,-0.731,-1.490,0.215,-3.807,2.531,-0.074,-0.538,0.539,-2.745,2.746
1558,-0.227,-0.992,0.590,-3.308,2.906,-0.070,-0.462,0.385,-2.669,2.591
1557,-0.087,-1.195,0.920,-3.511,3.237,-0.202,-0.609,0.191,-2.815,2.398
1556,0.274,-0.800,1.101,-3.117,3.417,-0.280,-0.619,-0.069,-2.826,2.137
1555,0.037,-0.645,0.779,-2.962,3.096,-0.593,-0.805,-0.359,-3.011,1.847
1554,-0.145,-0.962,0.614,-3.278,2.930,-0.991,-1.376,-0.712,-3.582,1.494
1553,-0.202,-1.135,0.597,-3.452,2.914,-0.674,-0.927,-0.474,-3.134,1.733
1552,-0.710,-1.384,-0.078,-3.701,2.239,-1.366,-1.637,-0.981,-3.843,1.225
1551,0.030,-0.568,0.700,-2.885,3.016,-0.325,-0.514,-0.075,-2.720,2.131
1550,0.542,0.046,1.137,-2.270,3.454,0.501,0.278,0.713,-1.928,2.920
1549,-0.161,-1.047,0.397,-3.364,2.714,0.113,-0.200,0.340,-2.407,2.546
1548,-0.343,-0.777,0.702,-3.094,3.018,0.280,-0.050,0.543,-2.256,2.749
1547,-0.543,-0.981,0.225,-3.298,2.542,0.299,0.094,0.548,-2.112,2.754
1546,0.154,-0.670,1.100,-2.987,3.417,1.021,0.720,1.322,-1.486,3.528
1545,0.244,-0.644,1.962,-2.961,4.279,2.152,1.574,2.827,-0.632,5.034
1544,-0.586,-1.047,0.367,-3.364,2.684,0.111,-0.138,0.311,-2.344,2.518
1543,-0.108,-0.817,0.593,-3.134,2.910,0.011,-0.203,0.388,-2.409,2.595
1542,-0.792,-1.626,0.331,-3.942,2.648,0.589,0.194,0.859,-2.013,3.065
1541,-0.017,-0.861,0.992,-3.177,3.309,0.367,-0.193,0.879,-2.400,3.085
1540,0.498,-0.402,1.497,-2.719,3.814,0.890,0.264,1.309,-1.943,3.516
1539,-0.307,-1.313,0.724,-3.629,3.041,0.228,-0.482,0.667,-2.688,2.873
1538,-0.522,-1.348,0.713,-3.664,3.030,-0.093,-0.587,0.224,-2.794,2.431
1537,0.030,-0.539,0.609,-2.856,2.925,-0.110,-0.600,0.206,-2.806,2.413
1536,0.750,0.259,1.723,-2.058,4.040,0.952,0.479,1.421,-1.727,3.627
1535,0.046,-1.037,1.197,-3.353,3.514,0.702,-0.168,1.211,-2.374,3.417
1534,-0.560,-1.267,-0.153,-3.584,2.164,-0.030,-0.716,0.523,-2.922,2.729
1533,-0.108,-0.728,0.750,-3.045,3.067,-0.394,-1.079,0.154,-3.286,2.360
1532,-1.176,-1.723,-0.217,-4.040,2.099,-0.518,-0.981,-0.244,-3.187,1.962
1531,-0.158,-0.738,1.134,-3.055,3.451,-0.093,-0.592,0.287,-2.799,2.493
1530,-0.472,-1.024,0.199,-3.340,2.516,-0.992,-1.354,-0.616,-3.561,1.591
1529,-0.118,-0.656,1.031,-2.972,3.348,-0.219,-0.645,0.440,-2.851,2.646
1528,-0.482,-1.123,0.642,-3.440,2.959,0.200,-0.163,0.566,-2.369,2.773
1527,0.018,-0.724,1.079,-3.041,3.396,-0.017,-0.264,0.469,-2.471,2.675
1526,0.840,0.195,2.243,-2.121,4.560,1.568,1.129,2.051,-1.077,4.258
1525,0.118,-0.691,1.542,-3.008,3.859,0.966,0.409,1.369,-1.798,3.575
1524,-0.160,-1.017,0.845,-3.334,3.162,0.532,0.356,0.769,-1.850,2.975
1523,-0.062,-0.893,0.504,-3.210,2.820,0.584,-0.030,0.945,-2.236,3.152
1522,-0.366,-1.054,0.625,-3.371,2.942,0.882,0.319,1.137,-1.887,3.343
1521,0.288,-0.282,1.157,-2.598,3.474,0.505,-0.091,0.804,-2.298,3.010
1520,0.427,-0.209,1.184,-2.526,3.500,0.981,0.495,1.289,-1.712,3.496
1519,0.444,-0.145,1.190,-2.461,3.507,0.298,0.062,0.700,-2.144,2.907
1518,-0.136,-0.763,0.571,-3.079,2.888,0.254,0.028,0.766,-2.178,2.972
1517,-0.289,-0.953,0.463,-3.270,2.780,0.048,-0.250,0.363,-2.456,2.570
1516,0.183,-0.546,0.997,-2.863,3.314,-0.042,-0.396,0.231,-2.602,2.437
1515,0.396,-0.422,1.019,-2.738,3.336,0.316,-0.287,0.549,-2.494,2.755
1514,0.485,-0.484,1.040,-2.801,3.357,0.255,-0.035,0.470,-2.242,2.677
1513,0.186,-0.538,1.033,-2.854,3.350,0.246,-0.181,0.554,-2.387,2.761
1512,0.181,-0.418,0.868,-2.734,3.185,0.196,-0.452,0.820,-2.658,3.026
1511,0.803,0.230,1.459,-2.087,3.776,0.998,0.531,1.360,-1.675,3.567
1510,-0.261,-1.019,0.489,-3.336,2.806,0.063,-0.603,0.458,-2.810,2.664
1509,0.528,-0.440,1.409,-2.757,3.726,0.587,-0.077,1.010,-2.283,3.216
1508,0.476,-0.234,1.333,-2.550,3.650,0.968,0.359,1.435,-1.847,3.641
1507,0.230,-0.529,0.814,-2.845,3.131,-0.322,-0.736,-0.003,-2.942,2.203
1506,-0.331,-1.066,1.097,-3.383,3.414,0.061,-0.332,0.435,-2.539,2.641
1505,-0.385,-1.012,0.820,-3.328,3.137,0.187,-0.249,0.565,-2.455,2.772
1504,-0.622,-1.170,-0.177,-3.487,2.139,-0.646,-1.017,-0.356,-3.224,1.851
1503,-0.581,-1.259,0.033,-3.576,2.350,-0.046,-0.356,0.308,-2.562,2.515
1502,-0.213,-0.932,0.552,-3.249,2.869,0.060,-0.224,0.288,-2.430,2.494
1501,-0.599,-1.190,0.030,-3.507,2.346,-0.480,-0.710,-0.238,-2.916,1.968
1500,0.143,-0.701,1.384,-3.017,3.700,1.134,0.774,1.434,-1.432,3.640
1499,-0.192,-1.316,0.575,-3.633,2.891,0.225,-0.207,0.537,-2.414,2.743
1498,0.373,-0.947,1.191,-3.264,3.507,0.181,-0.382,0.530,-2.589,2.736
1497,-0.389,-1.363,0.589,-3.680,2.906,0.082,-0.548,0.516,-2.754,2.723
1496,-0.373,-1.075,0.743,-3.392,3.060,0.116,-0.436,0.665,-2.643,2.871
1495,-0.594,-1.095,0.239,-3.412,2.556,-0.274,-0.801,0.276,-3.008,2.482
1494,0.585,-0.173,1.452,-2.490,3.768,0.672,0.091,1.147,-2.115,3.353
1493,0.633,-0.090,1.553,-2.407,3.870,1.386,0.946,1.715,-1.260,3.921
1492,-0.067,-0.947,0.756,-3.264,3.072,0.410,-0.160,0.753,-2.367,2.959
1491,-0.273,-1.901,0.834,-4.218,3.151,-1.036,-1.682,-0.496,-3.889,1.710
1490,0.325,-0.398,0.901,-2.715,3.218,-0.256,-0.464,0.054,-2.670,2.260
1489,-0.264,-1.122,0.380,-3.439,2.697,-0.261,-0.771,0.117,-2.978,2.323
1488,-0.116,-1.010,0.614,-3.327,2.931,-0.907,-1.201,-0.457,-3.408,1.750
1487,0.025,-0.646,0.878,-2.963,3.195,-0.304,-0.740,0.168,-2.947,2.374
1486,0.540,-0.434,1.214,-2.751,3.531,-0.075,-0.627,0.535,-2.833,2.742
1485,0.450,-0.420,1.139,-2.736,3.455,-0.114,-0.547,0.321,-2.754,2.527
1484,0.884,0.100,1.722,-2.217,4.038,0.355,-0.123,0.619,-2.329,2.825
1483,0.508,-0.074,1.099,-2.391,3.416,0.837,0.255,1.166,-1.952,3.372
1482,0.770,0.069,1.443,-2.248,3.760,0.787,-0.043,1.239,-2.249,3.445
1481,0.664,0.149,1.262,-2.168,3.578,-0.041,-0.335,0.169,-2.541,2.375
1480,0.037,-0.979,1.258,-3.295,3.574,-0.325,-0.595,-0.126,-2.801,2.080
1479,0.291,-0.319,0.986,-2.635,3.302,0.056,-0.215,0.291,-2.421,2.498
1478,0.769,-0.268,1.333,-2.585,3.650,-0.057,-0.353,0.445,-2.559,2.651
1477,0.922,0.363,1.573,-1.953,3.890,0.702,0.238,1.117,-1.969,3.323
1476,0.476,-0.257,1.165,-2.573,3.481,-0.428,-0.744,-0.049,-2.951,2.158
1475,-0.150,-1.105,1.009,-3.422,3.326,-0.558,-1.024,0.153,-3.230,2.360
1474,0.249,-0.647,1.054,-2.964,3.371,0.829,0.104,1.631,-2.102,3.837
1473,0.692,-0.233,1.573,-2.549,3.889,0.764,0.263,1.538,-1.943,3.744
1472,0.024,-0.816,0.829,-3.133,3.146,-0.571,-0.972,0.484,-3.178,2.691
1471,-0.102,-1.024,0.861,-3.340,3.178,-0.362,-0.657,0.401,-2.864,2.607
1470,0.007,-0.802,0.722,-3.119,3.039,-0.852,-1.107,-0.503,-3.314,1.703
1469,0.262,-0.334,0.878,-2.651,3.195,0.101,-0.439,0.755,-2.646,2.961
1468,0.429,-0.344,1.096,-2.661,3.412,-0.023,-0.529,0.827,-2.735,3.033
1467,0.497,-0.114,1.563,-2.431,3.880,0.434,0.078,1.161,-2.128,3.368
1466,0.029,-0.584,0.933,-2.901,3.250,-0.606,-0.884,-0.261,-3.091,1.945
1465,-0.356,-0.897,0.329,-3.214,2.646,-0.611,-1.010,-0.180,-3.216,2.026
1464,-0.329,-1.140,0.737,-3.456,3.054,-0.501,-1.002,-0.092,-3.208,2.114
1463,0.293,-0.432,0.902,-2.749,3.218,-0.362,-0.700,-0.042,-2.907,2.164
1462,-0.192,-0.968,0.632,-3.285,2.949,-1.093,-1.540,-0.760,-3.746,1.446
1461,0.058,-0.537,0.798,-2.854,3.114,0.201,-0.302,0.683,-2.508,2.889
1460,-0.239,-0.989,0.902,-3.306,3.219,-0.417,-0.836,0.210,-3.042,2.416
1459,0.284,-0.543,1.082,-2.860,3.399,-0.585,-1.054,-0.158,-3.261,2.048
1458,-0.367,-1.645,0.881,-3.962,3.198,-1.827,-2.288,-1.175,-4.494,1.032
1457,-0.801,-1.769,0.323,-4.086,2.639,-1.974,-2.246,-1.724,-4.453,0.482
1456,-0.244,-1.093,0.669,-3.409,2.986,-1.123,-1.428,-0.712,-3.635,1.494
1455,-0.519,-1.632,0.475,-3.948,2.792,-0.195,-0.691,0.439,-2.897,2.646
1454,-0.244,-1.394,0.498,-3.711,2.814,-1.020,-1.471,-0.435,-3.678,1.771
1453,-0.473,-1.577,-0.004,-3.894,2.313,-1.023,-1.405,-0.250,-3.611,1.957
1452,-0.279,-1.102,0.248,-3.419,2.564,-0.898,-1.305,-0.481,-3.511,1.725
1451,-0.336,-1.049,0.241,-3.365,2.558,-1.279,-1.598,-0.951,-3.804,1.256
1450,-1.115,-1.844,0.148,-4.161,2.465,-0.445,-0.849,0.205,-3.056,2.412
1449,-0.644,-1.287,0.066,-3.604,2.383,-0.701,-1.146,-0.133,-3.352,2.073
1448,-0.566,-1.142,0.160,-3.458,2.476,-0.899,-1.397,-0.613,-3.603,1.593
1447,-0.699,-1.233,0.354,-3.550,2.671,-0.960,-1.346,-0.683,-3.552,1.524
1446,-0.833,-1.570,-0.021,-3.887,2.296,-0.475,-0.930,-0.122,-3.137,2.084
1445,-0.065,-0.620,0.659,-2.936,2.976,-0.334,-1.059,-0.017,-3.265,2.190
1444,-0.980,-2.025,-0.156,-4.342,2.161,-0.438,-0.827,-0.133,-3.033,2.073
1443,-0.914,-1.490,-0.327,-3.807,1.990,-1.287,-1.714,-0.906,-3.920,1.300
1442,-0.724,-1.416,0.297,-3.732,2.613,0.028,-0.456,0.332,-2.663,2.539
1441,-0.235,-1.257,0.584,-3.574,2.900,0.078,-0.449,0.489,-2.655,2.695
1440,-0.265,-1.468,0.823,-3.784,3.140,0.006,-0.509,0.446,-2.715,2.652
1439,-1.118,-2.316,-0.136,-4.633,2.181,-1.086,-1.446,-0.704,-3.652,1.502
1438,-0.674,-1.440,0.332,-3.756,2.649,-0.020,-0.600,0.580,-2.806,2.787
1437,-1.001,-1.522,-0.227,-3.839,2.090,-1.218,-1.535,-0.499,-3.741,1.707
1436,-0.643,-1.449,-0.037,-3.766,2.280,-0.225,-0.624,0.079,-2.830,2.285
1435,-0.835,-1.850,0.072,-4.167,2.389,-0.794,-1.063,-0.537,-3.270,1.669
1434,-0.266,-0.943,0.323,-3.259,2.640,0.419,0.111,0.955,-2.095,3.162
1433,0.052,-0.539,0.895,-2.856,3.212,0.721,0.311,0.934,-1.895,3.140
1432,-0.405,-1.309,0.667,-3.626,2.984,-0.727,-1.300,-0.308,-3.506,1.899
1431,0.108,-0.487,0.931,-2.803,3.248,0.284,-0.063,0.515,-2.270,2.721
1430,-0.143,-0.862,0.877,-3.178,3.194,-0.448,-0.821,-0.093,-3.027,2.114
1429,-0.288,-1.030,1.137,-3.347,3.454,0.032,-0.209,0.523,-2.416,2.729
1428,1.125,-0.067,2.310,-2.384,4.626,1.134,0.740,1.698,-1.466,3.904
1427,-0.072,-0.735,0.763,-3.051,3.080,-0.717,-0.942,-0.409,-3.148,1.797
1426,0.153,-0.989,1.211,-3.306,3.527,0.235,-0.059,0.954,-2.265,3.160
1425,0.148,-0.584,1.427,-2.901,3.744,0.330,0.039,0.654,-2.167,2.860
1424,-0.116,-1.075,1.344,-3.392,3.660,-0.082,-0.294,0.247,-2.500,2.453
1423,-0.538,-1.973,0.213,-4.290,2.530,-0.188,-0.495,0.563,-2.701,2.769
1422,0.399,-0.347,1.305,-2.663,3.622,0.810,0.435,1.459,-1.772,3.665
1421,0.025,-0.593,0.980,-2.910,3.296,0.279,0.084,0.464,-2.122,2.670
1420,0.134,-0.475,0.741,-2.791,3.057,0.076,-0.542,0.502,-2.749,2.709
1419,-0.351,-1.148,0.277,-3.465,2.594,-0.688,-1.323,-0.250,-3.529,1.956
1418,0.424,-0.545,1.238,-2.862,3.555,-0.387,-0.976,0.027,-3.182,2.234
1417,0.805,0.266,1.666,-2.051,3.983,0.790,0.442,1.052,-1.764,3.258
1416,0.120,-0.496,0.768,-2.812,3.085,0.336,-0.237,0.645,-2.443,2.851
1415,0.432,-0.305,2.159,-2.621,4.476,1.052,0.639,1.382,-1.567,3.588
1414,0.493,-0.298,1.687,-2.614,4.004,-0.630,-0.930,-0.373,-3.136,1.834
1413,-0.272,-0.993,1.173,-3.310,3.490,0.801,0.355,1.080,-1.852,3.286
1412,-0.073,-1.192,0.591,-3.509,2.908,0.119,-0.349,0.340,-2.555,2.546
1411,-0.536,-1.359,0.400,-3.675,2.717,-0.413,-0.761,-0.074,-2.967,2.133
1410,-0.078,-0.820,0.683,-3.136,3.000,-0.306,-0.764,0.010,-2.970,2.216
1409,-0.256,-0.872,0.873,-3.188,3.190,-0.240,-0.544,0.218,-2.750,2.425
1408,-0.399,-1.241,0.804,-3.558,3.121,-0.883,-1.297,-0.186,-3.503,2.020
1407,-0.871,-1.852,0.178,-4.169,2.495,-0.203,-0.727,0.232,-2.934,2.439
1406,-0.176,-0.774,0.776,-3.091,3.093,-0.376,-0.753,-0.018,-2.959,2.189
1405,0.384,-0.328,1.598,-2.644,3.915,1.297,0.927,1.635,-1.280,3.841
