Time (years AD),Calibration_constrained_Mean,Calibration_constrained_Min,Calibration_constrained_Max,Calibration_constrained_Mean - 2SE,Calibration_constrained_Mean + 2SE,Model_constrained_Mean,Model_constrained_Min,Model_constrained_Max,Model_constrained_Mean - 2SE,Model_constrained_Mean + 2SE
1906,1.047,-0.016,2.101,-2.332,4.418,1.686,1.088,2.324,-1.118,4.530
1905,1.186,0.489,2.056,-1.827,4.373,1.891,1.466,2.479,-0.741,4.685
1904,0.498,-0.538,1.657,-2.855,3.973,1.041,0.198,1.745,-2.009,3.951
1903,0.988,0.366,2.184,-1.951,4.500,0.864,0.075,1.617,-2.131,3.823
1902,-0.125,-1.232,0.886,-3.548,3.202,0.771,0.303,1.362,-1.903,3.568
1901,-0.181,-1.375,0.776,-3.692,3.093,0.561,0.061,0.979,-2.146,3.186
1900,0.386,-0.482,1.265,-2.799,3.582,1.591,1.384,1.976,-0.822,4.182
1899,-0.300,-1.460,0.810,-3.776,3.127,0.201,-0.273,0.583,-2.479,2.789
1898,0.854,0.161,1.515,-2.155,3.832,0.669,0.228,1.211,-1.978,3.417
1897,0.480,-0.517,1.233,-2.834,3.550,0.695,0.139,1.262,-2.067,3.468
1896,-0.411,-1.405,0.809,-3.722,3.126,0.586,0.058,1.062,-2.149,3.268
1895,-0.465,-1.663,0.341,-3.980,2.658,-1.187,-1.659,-0.756,-3.865,1.450
1894,-0.060,-0.758,0.855,-3.075,3.172,0.006,-0.348,0.790,-2.555,2.996
1893,-0.374,-1.155,0.908,-3.472,3.224,-0.431,-0.870,0.575,-3.077,2.781
1892,0.543,-0.045,1.567,-2.362,3.884,-0.050,-0.453,0.717,-2.659,2.924
1891,0.605,0.100,1.007,-2.217,3.324,0.373,-0.006,0.747,-2.212,2.953
1890,0.472,-0.415,1.213,-2.732,3.530,0.049,-0.443,0.305,-2.649,2.511
1889,-0.102,-1.067,0.549,-3.383,2.866,-0.260,-0.773,0.110,-2.980,2.316
1888,-0.475,-1.490,0.227,-3.807,2.543,-0.526,-1.003,0.183,-3.209,2.389
1887,-0.440,-1.106,0.492,-3.423,2.809,-0.698,-1.270,-0.173,-3.476,2.033
1886,0.210,-0.474,1.553,-2.791,3.869,0.341,-0.313,1.209,-2.519,3.415
1885,0.345,-0.555,1.199,-2.871,3.516,0.642,-0.055,1.323,-2.262,3.530
1884,0.043,-0.572,1.166,-2.889,3.482,0.216,-0.360,0.671,-2.567,2.877
1883,-0.080,-1.141,0.982,-3.458,3.299,0.420,-0.088,0.859,-2.294,3.066
1882,0.079,-0.820,1.255,-3.137,3.572,0.835,0.296,1.377,-1.911,3.583
1881,-0.569,-1.380,0.574,-3.697,2.890,-0.454,-0.925,-0.199,-3.131,2.008
1880,-0.223,-0.997,0.834,-3.314,3.151,0.289,0.077,0.516,-2.129,2.722
1879,-1.222,-1.889,0.221,-4.205,2.538,-0.468,-0.946,-0.128,-3.152,2.079
1878,0.178,-0.515,1.281,-2.832,3.597,0.262,-0.160,0.596,-2.366,2.802
1877,0.016,-0.600,1.538,-2.917,3.855,0.150,-0.448,0.402,-2.655,2.608
1876,-0.873,-1.701,0.020,-4.017,2.337,-0.843,-1.433,-0.475,-3.639,1.732
1875,-0.523,-1.294,0.644,-3.610,2.961,-0.576,-1.021,-0.213,-3.228,1.994
1874,1.057,-0.018,2.584,-2.335,4.900,1.518,1.215,1.848,-0.991,4.054
1873,-0.336,-1.240,0.581,-3.556,2.898,0.016,-0.349,0.246,-2.555,2.452
1872,-0.371,-1.168,0.769,-3.485,3.086,-0.267,-0.635,0.146,-2.841,2.352
1871,-0.510,-1.539,0.374,-3.856,2.690,-0.862,-1.303,-0.199,-3.509,2.007
1870,-0.020,-1.183,1.147,-3.500,3.464,0.125,-0.327,0.525,-2.533,2.732
1869,1.462,0.241,2.599,-2.075,4.916,0.645,0.190,0.947,-2.016,3.153
1868,0.700,-0.283,1.567,-2.599,3.884,0.153,-0.051,0.362,-2.258,2.568
1867,0.821,0.247,2.604,-2.070,4.921,1.211,0.937,1.482,-1.269,3.689
1866,0.836,0.040,2.022,-2.277,4.338,0.891,0.658,1.126,-1.548,3.332
1865,0.395,-0.336,1.271,-2.653,3.587,0.934,0.536,1.207,-1.670,3.413
1864,0.339,-0.579,1.515,-2.896,3.832,1.610,1.343,2.329,-0.864,4.536
1863,0.566,-0.173,1.601,-2.490,3.918,1.473,1.160,1.671,-1.047,3.877
1862,0.696,-0.130,1.420,-2.447,3.737,0.664,0.379,0.907,-1.828,3.113
1861,-0.408,-0.811,0.405,-3.128,2.722,0.304,0.047,0.680,-2.159,2.887
1860,-0.143,-0.897,0.785,-3.214,3.102,0.439,0.035,0.943,-2.172,3.150
1859,-0.102,-0.547,0.665,-2.864,2.981,0.592,0.299,1.029,-1.907,3.235
1858,0.517,0.027,1.257,-2.290,3.574,0.814,0.232,1.220,-1.975,3.426
1857,-0.144,-1.565,1.358,-3.881,3.675,0.794,0.261,1.171,-1.945,3.378
1856,-0.290,-1.963,0.917,-4.279,3.234,-0.408,-0.908,-0.106,-3.114,2.100
1855,-0.179,-1.950,0.253,-4.267,2.570,-0.303,-0.673,-0.032,-2.879,2.174
1854,0.003,-0.637,0.427,-2.954,2.744,-0.164,-0.392,0.011,-2.598,2.217
1853,-0.185,-1.103,0.430,-3.419,2.747,-0.745,-1.209,-0.430,-3.415,1.776
1852,-0.386,-1.552,0.159,-3.869,2.475,-1.070,-1.495,-0.713,-3.701,1.494
1851,-0.277,-1.604,0.586,-3.920,2.903,-1.004,-1.557,-0.576,-3.763,1.631
1850,0.299,-0.683,0.896,-3.000,3.213,-0.321,-0.846,0.024,-3.052,2.230
1849,1.007,0.286,1.639,-2.031,3.956,0.348,-0.099,0.711,-2.306,2.918
1848,0.363,-0.426,1.153,-2.743,3.470,0.309,-0.132,0.629,-2.339,2.836
1847,-1.121,-2.299,0.533,-4.616,2.850,-1.428,-1.998,-1.021,-4.204,1.185
1846,0.091,-0.666,0.534,-2.983,2.851,-0.467,-0.960,-0.162,-3.166,2.044
1845,-0.444,-1.234,0.708,-3.550,3.025,0.150,-0.359,0.418,-2.566,2.624
1844,0.879,0.166,1.887,-2.150,4.204,0.465,-0.079,0.791,-2.286,2.998
1843,0.250,-0.382,0.989,-2.699,3.306,-0.026,-0.580,0.264,-2.786,2.470
1842,0.192,-0.650,1.025,-2.967,3.342,0.558,-0.154,0.974,-2.360,3.181
1841,0.388,-0.679,1.630,-2.996,3.947,-0.134,-0.639,0.164,-2.846,2.370
1840,0.322,-0.951,1.640,-3.268,3.957,-0.631,-1.126,-0.322,-3.332,1.885
1839,0.573,-0.864,1.813,-3.181,4.130,-0.668,-0.940,-0.452,-3.147,1.754
1838,0.197,-1.279,1.694,-3.595,4.011,-0.576,-0.820,-0.366,-3.027,1.840
1837,0.565,-0.585,1.496,-2.901,3.812,0.211,-0.365,1.025,-2.571,3.232
1836,0.046,-0.648,0.925,-2.965,3.242,0.202,-0.453,0.615,-2.660,2.821
1835,0.893,-0.484,1.598,-2.801,3.914,1.030,0.288,1.718,-1.918,3.924
1834,0.731,-0.741,1.684,-3.057,4.001,1.214,0.610,1.709,-1.596,3.915
1833,0.544,-0.350,1.438,-2.667,3.754,0.337,0.034,0.623,-2.172,2.829
1832,-0.076,-0.785,0.544,-3.102,2.860,0.193,-0.327,0.503,-2.533,2.710
1831,0.051,-1.165,0.754,-3.482,3.071,-0.299,-0.665,0.002,-2.871,2.208
1830,-0.104,-1.559,0.549,-3.876,2.866,-0.425,-0.765,-0.162,-2.972,2.044
1829,0.087,-0.775,0.825,-3.091,3.141,0.051,-0.450,0.266,-2.656,2.473
1828,0.519,-0.701,1.397,-3.018,3.713,-0.168,-0.932,0.104,-3.138,2.310
1827,0.237,-0.892,0.716,-3.208,3.033,0.293,0.128,0.473,-2.078,2.680
1826,0.389,-0.448,1.300,-2.765,3.617,0.587,0.357,0.795,-1.850,3.001
1825,0.485,-0.180,1.494,-2.496,3.811,0.647,0.440,0.824,-1.767,3.030
1824,0.125,-0.394,0.909,-2.711,3.226,0.156,-0.234,0.400,-2.441,2.606
1823,0.070,-0.630,1.078,-2.946,3.394,0.658,0.496,0.791,-1.711,2.998
1822,0.225,-0.482,1.191,-2.799,3.507,1.233,0.992,1.587,-1.215,3.793
1821,0.766,0.019,1.557,-2.298,3.873,0.247,-0.130,0.461,-2.336,2.668
1820,0.074,-0.859,0.718,-3.176,3.034,-0.096,-0.412,0.086,-2.618,2.293
1819,0.458,-0.167,0.960,-2.484,3.277,0.538,0.253,0.769,-1.954,2.975
1818,0.435,-0.753,1.499,-3.070,3.816,1.235,0.871,1.739,-1.335,3.945
1817,0.642,0.052,1.074,-2.265,3.391,0.461,0.151,0.964,-2.055,3.170
1816,0.416,-1.642,1.411,-3.959,3.728,-0.165,-0.452,0.169,-2.658,2.376
1815,0.464,-0.448,1.054,-2.765,3.371,-0.324,-0.620,-0.098,-2.826,2.109
1814,0.465,-0.510,1.214,-2.827,3.531,0.705,0.280,0.981,-1.927,3.187
1813,0.601,-0.291,2.241,-2.608,4.558,1.665,1.076,2.086,-1.131,4.293
1812,0.133,-0.799,1.003,-3.116,3.319,-0.291,-0.645,0.073,-2.851,2.279
1811,0.755,-0.004,2.244,-2.320,4.560,0.375,-0.100,0.769,-2.306,2.976
1810,0.463,-0.412,1.246,-2.729,3.563,-0.132,-0.647,0.289,-2.853,2.495
1809,-0.247,-1.357,0.494,-3.673,2.811,-0.582,-1.217,-0.253,-3.423,1.954
1808,-0.155,-0.694,0.379,-3.010,2.696,-0.655,-1.268,-0.286,-3.475,1.921
1807,0.293,-0.227,0.919,-2.544,3.235,-0.161,-1.108,0.348,-3.315,2.554
1806,-0.093,-0.928,0.657,-3.245,2.973,-0.266,-0.818,0.090,-3.024,2.297
1805,-0.607,-1.632,0.110,-3.948,2.427,-1.245,-1.790,-0.675,-3.996,1.531
1804,-0.008,-0.870,0.918,-3.187,3.235,-0.526,-0.959,-0.164,-3.165,2.042
1803,0.542,-0.160,1.536,-2.477,3.853,0.366,-0.044,0.984,-2.250,3.190
1802,0.456,-0.718,1.124,-3.035,3.441,-0.240,-0.615,0.095,-2.821,2.302
1801,-0.254,-1.422,0.802,-3.739,3.119,-0.075,-0.398,0.124,-2.604,2.330
1800,-0.453,-1.563,0.321,-3.879,2.638,-1.599,-1.879,-1.216,-4.086,0.991
1799,-0.058,-1.014,0.895,-3.331,3.212,-0.735,-0.962,-0.301,-3.169,1.905
1798,-0.093,-1.109,0.855,-3.426,3.172,0.011,-0.250,0.219,-2.456,2.425
1797,0.200,-0.709,1.246,-3.026,3.563,-0.192,-0.820,0.114,-3.027,2.320
1796,0.250,-0.892,1.105,-3.209,3.422,0.264,-0.085,0.430,-2.291,2.636
1795,-0.106,-1.133,0.704,-3.450,3.020,-0.536,-1.122,-0.097,-3.328,2.110
1794,0.121,-0.726,0.839,-3.043,3.156,0.519,0.149,0.849,-2.057,3.055
1793,0.951,0.196,1.657,-2.121,3.974,0.522,-0.049,0.971,-2.255,3.177
1792,-0.169,-0.953,0.464,-3.270,2.780,-1.427,-1.643,-1.154,-3.850,1.053
1791,-0.061,-0.841,0.563,-3.158,2.880,-0.502,-0.830,0.016,-3.036,2.223
1790,-0.416,-1.230,0.237,-3.547,2.553,-1.230,-1.626,-1.053,-3.832,1.154
1789,-0.569,-1.300,0.316,-3.617,2.632,-1.005,-1.264,-0.622,-3.470,1.584
1788,-0.508,-1.588,0.251,-3.905,2.568,-0.706,-1.172,-0.255,-3.379,1.952
1787,-0.061,-1.150,1.145,-3.467,3.462,-1.830,-2.423,-1.354,-4.630,0.853
1786,-1.164,-2.284,-0.209,-4.600,2.107,-1.500,-1.844,-1.159,-4.050,1.047
1785,-0.903,-1.818,-0.179,-4.135,2.138,-1.433,-1.951,-0.985,-4.157,1.221
1784,-0.256,-1.724,0.346,-4.041,2.663,-1.359,-2.090,-0.734,-4.296,1.472
1783,0.068,-0.651,0.590,-2.968,2.907,-0.258,-0.913,0.482,-3.119,2.688
1782,-0.984,-1.762,0.319,-4.079,2.635,-0.944,-1.431,-0.545,-3.638,1.662
1781,-0.016,-1.016,1.128,-3.333,3.445,0.499,-0.090,1.044,-2.297,3.250
1780,-0.818,-1.716,0.054,-4.033,2.371,-0.725,-1.216,-0.415,-3.423,1.791
1779,-0.037,-0.855,0.844,-3.171,3.160,-0.203,-0.545,0.506,-2.751,2.713
1778,-0.183,-1.291,0.540,-3.607,2.857,-0.107,-0.468,0.173,-2.674,2.379
1777,-0.462,-1.215,0.797,-3.532,3.114,-0.767,-1.226,-0.204,-3.432,2.002
1776,-0.175,-0.837,0.293,-3.154,2.610,-0.912,-1.124,-0.679,-3.331,1.527
1775,-0.576,-1.675,-0.032,-3.992,2.285,-1.679,-2.038,-1.372,-4.244,0.834
1774,-0.449,-1.572,0.337,-3.889,2.653,-0.710,-1.061,-0.455,-3.267,1.751
1773,-0.670,-1.569,0.055,-3.886,2.371,-1.085,-1.336,-0.870,-3.543,1.337
1772,-0.810,-1.744,-0.256,-4.061,2.060,-2.014,-2.338,-1.731,-4.544,0.476
1771,0.516,-0.526,1.211,-2.842,3.528,-0.649,-1.053,-0.368,-3.259,1.838
1770,0.359,-0.765,1.198,-3.081,3.514,-0.460,-1.114,-0.114,-3.320,2.093
1769,-0.131,-1.382,0.644,-3.699,2.961,-1.645,-2.332,-1.171,-4.538,1.035
1768,-0.078,-1.116,0.734,-3.433,3.051,-1.092,-1.847,-0.668,-4.054,1.539
1767,0.120,-1.394,0.887,-3.710,3.204,-1.072,-1.809,-0.610,-4.015,1.596
1766,0.349,-0.740,1.253,-3.057,3.570,-1.398,-2.072,-0.998,-4.278,1.209
1765,-0.156,-1.171,0.370,-3.488,2.687,-1.106,-1.846,-0.624,-4.053,1.582
1764,0.051,-0.865,0.691,-3.182,3.008,-0.676,-1.378,-0.273,-3.584,1.933
1763,-0.816,-1.683,-0.126,-3.999,2.190,-1.733,-2.207,-1.319,-4.413,0.887
1762,-0.260,-1.323,0.334,-3.640,2.651,-1.374,-1.966,-0.792,-4.172,1.414
1761,0.533,-0.669,1.660,-2.986,3.977,0.391,-0.481,1.202,-2.688,3.408
1760,0.054,-0.957,0.940,-3.274,3.257,-0.834,-1.457,-0.431,-3.664,1.775
1759,0.339,-0.503,0.921,-2.820,3.238,0.219,-0.358,0.513,-2.564,2.719
1758,0.467,-0.420,1.347,-2.737,3.664,0.197,-0.496,0.616,-2.702,2.822
1757,0.094,-0.758,1.109,-3.074,3.426,-0.209,-0.778,0.151,-2.984,2.358
1756,0.289,-0.485,1.075,-2.802,3.392,0.474,-0.110,0.784,-2.316,2.990
1755,-0.285,-0.849,0.490,-3.166,2.807,-0.337,-0.790,-0.035,-2.996,2.171
1754,0.232,-0.243,0.867,-2.560,3.184,0.173,-0.566,0.606,-2.773,2.812
1753,-0.227,-1.102,0.616,-3.418,2.933,-1.315,-1.955,-0.956,-4.162,1.250
1752,-0.641,-1.578,0.144,-3.894,2.460,-0.761,-1.584,-0.267,-3.790,1.940
1751,-0.089,-0.841,0.510,-3.157,2.827,-0.078,-0.778,0.312,-2.984,2.519
1750,0.276,-0.597,0.918,-2.914,3.235,0.274,-0.428,0.708,-2.634,2.915
1749,0.803,-0.036,1.690,-2.352,4.006,0.219,-0.334,0.519,-2.540,2.725
1748,-0.767,-1.664,0.241,-3.981,2.558,-0.955,-1.460,-0.413,-3.666,1.794
1747,0.743,-0.160,1.504,-2.476,3.821,0.143,-0.313,0.500,-2.520,2.706
1746,0.875,0.189,1.557,-2.128,3.873,0.432,-0.123,0.706,-2.330,2.913
1745,-0.478,-0.973,0.137,-3.290,2.453,-0.183,-0.719,0.219,-2.926,2.426
1744,-0.071,-0.542,0.601,-2.859,2.917,0.601,-0.122,1.002,-2.328,3.209
1743,-0.163,-0.960,0.693,-3.276,3.010,0.062,-0.739,0.669,-2.945,2.875
1742,-0.585,-1.351,0.370,-3.667,2.686,0.127,-0.797,0.649,-3.004,2.855
1741,-0.092,-1.015,0.850,-3.332,3.167,0.353,-0.854,1.012,-3.061,3.219
1740,-0.968,-2.053,0.251,-4.370,2.567,-0.620,-1.612,-0.020,-3.818,2.186
1739,-0.387,-1.276,0.723,-3.593,3.040,-0.137,-0.840,0.610,-3.046,2.817
1738,0.133,-0.485,1.113,-2.802,3.429,1.057,0.570,1.511,-1.637,3.717
