ID,Study,Variable,Season,Description,Units,Authors,Year,file,Column,separator,Index_col,Time_ref,Time_factor,nan_val,Core,Location,Latitude,Longitude,Depth,Publication
SSTcomp_Iceland_Cunningham_2013,Cunningham_2013,SST anomaly,,"Composite record derived from I1-I3, normalised for the period 1000 - 1974  AD",°C,Cunningham et al.,2013,cunningham2013-data-series.txt,I_Comp,tab,0,CE,,,,North Icelandic Shelf,"[66.5265,66.55]","[-18.19567,-17.7]",,"Cunningham, L. K., Austin, W. E., Knudsen, K. L., Eiríksson, J., Scourse, J. D., Wanamaker, A. D., Butler, P. G., Cage, A. G., Richter, T., Husum, K., Hald, M., Andersson, C., Zorita, E., Linderholm, H. W., Gunnarson, B. E., Sicre, M.-A., Sejrup, H. P., Jiang, H., & Wilson, R. J. (2013). Reconstructions of surface ocean conditions from the northeast Atlantic and Nordic seas during the last millennium. The Holocene, 23(7), 921–935."
SSTcomp_NENA_Cunningham_2013,Cunningham_2013,SST anomaly,,"Composite record derived from the 10 proxy records from Norway and Iceland, normalised for the period 1000 - 1974  AD",°C,Cunningham et al.,2013,cunningham2013-data-series.txt,NENA_Comp,tab,0,CE,,,,Northeast North Atlantic,"[69.483333,67.616667,66.15,63.75,60.87,66.5265,66.55]","[18.366667,8.066667,12.66,5.25,3.73,-18.19567,-17.7]",,"Cunningham, L. K., Austin, W. E., Knudsen, K. L., Eiríksson, J., Scourse, J. D., Wanamaker, A. D., Butler, P. G., Cage, A. G., Richter, T., Husum, K., Hald, M., Andersson, C., Zorita, E., Linderholm, H. W., Gunnarson, B. E., Sicre, M.-A., Sejrup, H. P., Jiang, H., & Wilson, R. J. (2013). Reconstructions of surface ocean conditions from the northeast Atlantic and Nordic seas during the last millennium. The Holocene, 23(7), 921–935."
d18O_LS_Tquin_Moffa_2017,Moffa-Sanchez_2017_LS,$\delta ^{18}O$,summer,D18O from the planktonic foraminifer T. quinqueloba that inhabits near‐surface waters above the summer pycnocline ~50 m,‰,Moffa-Sánchez et al. ,2017,moffa-sanchez2017-rapid35.txt,d18O-Tquinq,whitespace,0,BP,1,-999,RAPiD-35-COM,Labrador Sea,57.504167,-48.722333,3484,"Moffa-Sánchez, P., & Hall, I. R. (2017). North Atlantic variability and its links to European climate over the last 3000 years. Nature Communications, 8(1), 1726. "
d18O_LS_Npachy_Moffa_2017,Moffa-Sanchez_2017_LS,$\delta ^{18}O$,summer,D18O from the planktonic foraminifer Neogloboquadrina pachyderma that under the presence of warm Atlantic waters calcifies deeper (100-200m) whereas under the influence of the EGC polar waters it calcified closer to the surface.,‰,Moffa-Sánchez et al. ,2017,moffa-sanchez2017-rapid35.txt,d18O-Npachy-s,whitespace,0,BP,1,-999,RAPiD-35-COM,Labrador Sea,57.504167,-48.722333,3484,"Moffa-Sánchez, P., & Hall, I. R. (2017). North Atlantic variability and its links to European climate over the last 3000 years. Nature Communications, 8(1), 1726. "
Nps_LS_Moffa_2017,Moffa-Sanchez_2017_LS,Nps,spring,Percentage of the polar planktonic foraminifera species Neogloboquadrina pachyderma as a proxy for SST and the relative influence of polar waters,%,Moffa-Sánchez et al. ,2017,moffa-sanchez2017-rapid35.txt,%Npachy-s,whitespace,0,BP,1,-999,RAPiD-35-COM,Labrador Sea,57.504167,-48.722333,3484,"Moffa-Sánchez, P., & Hall, I. R. (2017). North Atlantic variability and its links to European climate over the last 3000 years. Nature Communications, 8(1), 1726. "
SS_NwAC_Tegzes_2017,Tegzes_2017_NWAC,$\bar{SS}$,,Sortable-silt mean size,µm,Tegzes et al.,2017,Tegzes_JM97-948_2A_SS.tab,SS avg [µm],tab,3,CE,,,"JM97-948/2A,MD95-2011","Vøring Plateau, Norwegian Sea",66.96966,7.63933,1048,"Tegzes, A. D., Jansen, E., Lorentzen, T., & Telford, R. J. (2017). Northward oceanic heat transport in the main branch of the Norwegian Atlantic Current over the late Holocene. The Holocene, 27(7), 1034–1044. https://doi.org/10.1177/0959683616683251"
TSI_global_Steinhilber_2012,Steinhilber_2012,TSI,,Total solar irradiance (W/m^2) given as difference to the value of the PMOD composite during the solar cycle minimum of the year 1986 AD (1365.57 W/m2) as given in Frohlich (2009) ,$Wm^{-2}$,Steinhilber et al.,2012,steinhilber2012.txt,TSI,whitespace,0,BP,1,,,Global,,,,"Steinhilber, F., Abreu, J. A., Beer, J., Brunner, I., Christl, M., Fischer, H., Heikkilä, U., Kubik, P. W., Mann, M., McCracken, K. G., Miller, H., Miyahara, H., Oerter, H., & Wilhelms, F. (2012). 9,400 years of cosmic radiation and solar activity from ice cores and tree rings. Proceedings of the National Academy of Sciences, 109(16), 5967–5971. https://doi.org/10.1073/pnas.1118965109"
SolMod_global_Steinhilber_2012,Steinhilber_2012,Solar modulation $\Phi$,,Solar modulation phi (MV) using the radionuclide production calculations of Masarik & Beer (2009) based on the local interstellar spectrum of Garcia-Munoz et al.(1975) and considering the geomagnetic dipole field by Knudsen et al.(2008).,MeV,Steinhilber et al.,2012,steinhilber2012.txt,Phi,whitespace,0,BP,1,,,Global,,,,"Steinhilber, F., Abreu, J. A., Beer, J., Brunner, I., Christl, M., Fischer, H., Heikkilä, U., Kubik, P. W., Mann, M., McCracken, K. G., Miller, H., Miyahara, H., Oerter, H., & Wilhelms, F. (2012). 9,400 years of cosmic radiation and solar activity from ice cores and tree rings. Proceedings of the National Academy of Sciences, 109(16), 5967–5971. https://doi.org/10.1073/pnas.1118965109"
SolMod_global_Brehm_2021,Brehm_2021,Solar modulation $\Phi$,,Reconstructed solar modulation parameter Φ from ETH and QL 14C production rates.,MeV,Brehm et al. ,2021,Brehm_2021_solar_modulation.csv,ETH solar modulation parameter (MeV),csv,0,CE,,,,Global,,,,"Brehm, N., Bayliss, A., Christl, M., Synal, H.-A., Adolphi, F., Beer, J., Kromer, B., Muscheler, R., Solanki, S. K., Usoskin, I., Bleicher, N., Bollhalder, S., Tyers, C., & Wacker, L. (2021). Eleven-year solar cycles over the last millennium revealed by radiocarbon in tree rings. Nature Geoscience, 14(1), 10–15. https://doi.org/10.1038/s41561-020-00674-0"
NAOcc_Ortega_2015,Ortega_2015,NAO index,,"Calibration constrained  NAO reconstruction for the past millennium, based on an initial selection of 48 annually resolved proxy records distributed around the Atlantic Ocean and built through an ensemble of multivariate regressions.",,Ortega et al.,2015,Ortega_2015_NAO.csv,Calibration_constrained_Mean,csv,0,CE,,,,Northern Hemisphere,,,,"Ortega, P., Lehner, F., Swingedouw, D., Masson-Delmotte, V., Raible, C. C., Casado, M., & Yiou, P. (2015). A model-tested North Atlantic Oscillation reconstruction for the past millennium. Nature, 523(7558), 71–74."
NAOmc_Ortega_2015,Ortega_2015,NAO index,,"Modelled constrained NAO reconstruction for the past millennium, based on an initial selection of 48 annually resolved proxy records distributed around the Atlantic Ocean.",,Ortega et al.,2015,Ortega_2015_NAO.csv,Model_constrained_Mean,csv,0,CE,,,,Northern Hemisphere,,,,"Ortega, P., Lehner, F., Swingedouw, D., Masson-Delmotte, V., Raible, C. C., Casado, M., & Yiou, P. (2015). A model-tested North Atlantic Oscillation reconstruction for the past millennium. Nature, 523(7558), 71–74."
