Year,D13C,d18O
1824,2.0569337099,3.2619067603
1823,2.0807377011,3.2652464458
1822,1.5973761173,3.1005678723
1821,1.8593323919,3.6999466318
1820,2.216,3.842
1819,2.0915,3.6105
1818,2.083,3.708
1817,1.968,3.766
1816,2.04,3.779
1815,2.032,3.619
1814,2.075,3.973
1813,2.097,3.952
1812,2.153,3.822
1811,2.245,3.731
1810,2.223,3.61
1809,2.082,3.434
1808,2.031,3.9
1807,2.126,3.759
1806,2.017,3.965
1805,2.004,4.123
1804,2.203,3.763
1803,1.976,3.277
1802,2.182,3.993
1801,2.222,3.392
1800,2.11,3.92
1799,1.948,4.122
1798,1.685,4.122
1797,1.743,4.21
1796,1.731,4.053
1795,1.817,4.069
1794,1.683,3.96
1793,1.699,4.127
1792,1.5558917453,3.6890749634
1791,1.5618473098,4.172448623
1790,1.731638308,4.1337207485
1789,1.7104410167,4.0103531054
1788,2.0145955669,3.8255653808
1787,2.109,3.996
1786,2.1632871654,3.7223394817
1785,2.150560189,3.6650226356
1784,2.062,3.428
1783,2.095,3.878
1782,2.25,3.56
1781,2.43,3.517
1780,2.472,3.458
1779,2.056,3.66
1778,1.768,3.664
1777,1.912,3.41
1776,1.832,3.473
1775,1.823,3.585
1774,1.873,3.54
1773,2.041,3.796
1772,2.216,3.645
1771,2.268,3.329
1770,2.607,3.389
1769,2.618,3.443
1768,2.0069244923,3.253238176
1767,2.1766786938,3.4211569664
1766,2.956,3.714
1765,2.3270594196,3.322222534
1764,2.180163441,3.1419143681
1763,2.2112878619,3.2709480627
1762,2.0201348858,3.35862658
1761,2.3433595728,3.635207276
1760,2.1000593746,3.5019798669
1759,2.166705248,3.4704779163
1758,2.3477102548,3.5489771035
1757,2.6756983991,3.7643758042
1756,2.3604999134,3.5725240958
1755,2.5121633721,3.3997328862
1754,2.4258735313,3.4657735616
1753,2.4402021716,3.3641057001
1752,2.3744078964,3.4458729741
1751,2.4016018593,3.2767238376
1750,2.4451806243,3.5491387994
1749,2.3514327518,3.4012831158
1748,2.3753366845,3.4971855115
1747,2.2245925732,3.4288927944
1746,2.257037291,3.5186378017
1745,2.0691291502,3.3232752425
1744,2.594164757,3.560625215
1743,2.1602587995,3.4187380062
1742,2.0951187928,3.3808791197
1741,2.0791860818,3.3761903361
1740,2.0381575771,3.4617141139
1739,2.152402055,3.4417516637
1738,2.2003160258,3.343133944
1737,2.1840325969,3.4309712886
1736,1.9552842497,3.5597319459
1735,2.1346730968,3.3819709647
1734,1.6882252668,3.3279320248
1733,2.7734812211,3.4807694902
1732,2.56,3.6804583042
1731,2.7806992914,3.4942274382
1730,2.356,3.6662727497
1729,2.5739224615,3.5398041407
1728,2.5718293913,3.6011239323
1727,2.5741359639,3.5862904139
1726,2.4127518519,3.74890975
1725,2.3649316563,3.9113237155
1724,2.37866561,3.7510636658
1723,2.3539741079,3.7392902684
1722,2.616026666,3.7558874136
1721,2.4560212797,3.7720457038
1720,2.3362000572,3.7725499726
1719,2.3682738165,3.7281194248
1718,2.4998354774,3.8211309277
1717,2.4169468545,3.741225368
1716,2.5024253425,3.6636259464
1715,2.6038254647,3.6088999531
1714,2.5290221316,3.5784676023
1713,2.3966477924,3.7727536461
1712,2.343841112,3.8278629532
1711,2.3330935446,3.629104432
1710,2.141,3.4913999505
1709,2.3358770963,3.6599135562
1708,2.3484584332,3.7816274818
1707,2.4372945012,3.5329451429
1706,2.151,3.6732327457
1705,2.1774012301,3.4954169629
1704,2.4632909944,3.6755600882
1703,2.2252423811,3.5819066457
1702,2.3524457291,3.5188294226
1701,1.9266995262,3.1888455955
1700,2.1658839571,3.241257727
1699,2.1640335384,3.282906597
1698,1.4319671022,3.2922179011
1697,1.6850988276,3.3535773236
1696,1.5389138613,3.2414901494
1695,1.7381018821,3.2370662308
1694,2.2765063263,3.7486581973
1693,2.2748634464,3.8102088168
1692,1.99,3.8654029908
1691,2.1992948685,3.6605280423
1690,2.1939500764,3.7485463407
1689,2.2433590136,3.7086596783
1688,2.3542023801,3.8266197937
